age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country
51,56,13,11,40,48,29,75,0,50,20
33,56,10,9,43,0,45,75,1,40,72
37,56,14,10,43,0,45,75,1,60,72
57,56,3,3,40,9,29,75,0,40,72
46,62,16,14,40,16,29,75,0,50,72
25,56,15,13,43,16,45,75,0,40,72
23,56,10,9,43,60,50,75,0,40,72
46,56,10,9,40,24,29,75,0,56,72
59,56,10,9,40,0,29,75,0,45,72
51,56,10,9,43,16,47,75,1,40,72
48,56,15,13,41,60,73,75,1,70,72
48,56,10,9,40,48,29,75,0,40,72
54,63,15,13,11,16,45,75,0,50,72
41,63,13,11,40,17,29,75,0,70,72
43,56,10,9,64,48,45,75,1,26,72
36,56,14,10,11,0,73,75,0,40,6
20,56,14,10,43,24,50,75,0,20,72
39,56,15,13,40,60,77,75,1,30,72
26,56,14,10,11,68,45,75,0,60,72
51,56,14,10,11,16,73,75,1,40,72
57,62,11,15,40,57,29,3,0,50,67
35,56,7,6,11,38,45,75,0,50,72
20,56,14,10,43,24,50,75,0,40,72
34,56,13,11,40,68,29,75,0,40,72
57,62,10,9,40,16,29,75,0,60,72
37,56,14,10,40,9,29,75,0,40,72
28,63,10,9,43,9,45,75,0,55,72
51,56,10,9,40,9,29,75,0,42,72
37,56,14,10,40,9,29,75,0,40,72
36,56,13,11,40,57,77,75,1,40,72
36,56,10,9,40,9,29,4,0,40,72
37,37,16,14,40,57,77,75,1,45,72
45,63,10,9,40,60,29,3,0,50,65
43,56,14,10,40,57,77,75,1,40,72
21,56,7,6,43,48,45,75,1,35,72
36,56,14,10,11,0,45,75,0,45,72
32,66,12,12,40,48,29,75,0,35,72
59,63,10,9,40,70,29,75,0,48,72
38,56,15,13,40,38,29,75,0,40,31
26,56,10,9,43,38,73,75,1,40,72
22,56,14,10,43,0,50,75,0,40,72
62,37,17,16,76,57,73,75,1,40,31
36,56,10,9,40,0,77,75,1,40,72
40,56,10,9,40,38,29,75,0,40,72
60,63,14,10,40,70,29,75,0,46,72
53,37,10,9,40,0,29,75,0,40,72
39,56,16,14,43,60,45,75,0,50,72
36,56,10,9,11,16,45,75,1,40,72
22,56,15,13,43,60,45,75,1,60,72
56,63,15,13,43,16,45,75,1,60,72
17,56,8,7,43,48,50,75,1,20,72
59,56,6,5,40,70,29,75,0,60,72
23,56,10,9,40,9,29,75,0,38,72
55,56,10,9,40,48,47,3,0,40,52
35,56,15,13,40,60,29,75,0,40,72
31,56,12,12,43,0,45,75,0,38,72
27,56,14,10,40,57,29,75,0,88,72
61,56,14,10,40,24,29,75,0,20,72
44,56,10,9,40,60,77,75,1,40,72
26,56,10,9,40,68,29,75,0,40,72
25,56,14,10,41,0,50,4,1,20,72
27,56,14,10,43,60,45,75,0,44,72
60,63,14,10,40,16,29,75,0,40,72
37,18,14,10,43,9,45,75,0,40,72
19,56,10,9,43,9,45,75,0,40,72
39,56,14,10,40,38,29,75,0,50,72
52,56,10,9,40,16,29,75,0,48,72
35,37,10,9,40,9,29,75,0,40,72
34,56,15,13,43,57,45,75,0,50,19
24,56,10,9,43,0,45,75,0,40,72
26,37,15,13,43,68,50,75,0,40,72
40,56,10,9,40,0,29,75,0,40,42
39,56,15,13,40,57,29,75,0,55,72
54,56,16,14,40,60,29,75,0,40,72
21,56,3,3,43,24,45,75,0,40,42
17,56,8,7,43,48,50,75,1,5,72
23,56,10,9,40,60,77,75,1,40,72
35,56,5,4,40,9,29,75,0,40,59
41,63,10,9,40,16,29,75,0,40,72
38,56,14,10,11,68,73,75,1,50,72
30,56,15,13,43,57,45,75,0,50,31
49,56,5,4,11,48,73,75,1,35,72
33,56,16,14,40,57,29,75,0,50,72
73,56,10,9,76,48,47,75,1,32,72
35,56,15,13,40,16,29,75,0,40,72
53,18,10,9,40,0,77,75,1,35,72
39,56,10,9,40,9,29,75,0,40,72
50,63,15,13,40,17,29,75,0,80,72
40,56,10,9,40,16,29,75,0,45,72
27,56,12,12,43,60,45,75,1,40,72
34,56,14,10,43,0,47,75,1,40,72
43,63,14,10,40,16,29,75,0,15,72
49,56,10,9,40,9,29,75,0,40,72
70,56,8,7,40,70,29,75,0,40,72
51,56,10,9,11,57,45,75,1,40,72
54,66,16,14,41,57,45,3,1,40,7
60,56,16,14,11,57,45,75,1,50,72
40,63,12,12,11,16,45,75,0,30,72
38,56,13,11,43,68,45,75,0,50,72
50,56,13,11,40,70,29,75,0,55,72
20,56,12,12,43,0,45,75,1,40,72
21,56,14,10,43,0,50,75,0,20,72
21,56,14,10,43,0,50,75,0,40,72
25,56,15,13,43,57,50,75,0,70,72
28,56,10,9,43,70,45,75,1,40,72
56,63,10,9,41,16,45,75,0,70,72
50,56,15,13,40,68,29,75,0,20,72
46,56,15,13,40,57,29,75,0,50,72
46,56,15,13,11,57,45,75,0,45,72
41,63,5,4,40,9,29,75,0,40,72
24,56,15,13,43,48,45,3,0,32,72
45,56,15,13,40,60,29,75,0,60,72
46,56,10,9,40,38,29,75,0,50,72
30,56,10,9,11,38,73,75,1,20,72
58,56,15,13,11,60,45,75,0,40,72
29,37,10,9,40,48,77,75,1,40,72
25,56,2,2,43,55,45,75,1,40,22
29,56,10,9,40,38,29,75,0,50,72
29,56,14,10,40,9,29,75,0,45,72
22,56,10,9,43,57,45,75,1,40,72
53,56,5,4,40,70,29,75,0,60,72
48,56,14,10,40,16,29,75,0,40,72
20,56,10,9,40,24,29,75,0,60,72
50,56,15,13,40,16,29,75,0,40,72
28,56,14,10,43,9,45,75,0,43,42
31,56,15,13,40,9,29,75,0,40,72
37,56,10,9,11,48,45,75,0,40,72
30,56,16,14,40,57,29,75,0,44,72
23,56,9,8,43,38,50,75,0,21,42
37,56,10,9,43,38,45,75,0,40,72
28,56,10,9,40,38,29,75,0,40,72
44,66,14,10,11,0,45,4,1,40,72
21,56,14,10,43,17,50,75,0,20,72
50,56,15,13,11,57,73,75,1,45,72
25,56,10,9,43,0,45,75,0,40,72
21,66,14,10,43,48,50,75,1,14,72
49,63,15,13,40,9,29,75,0,50,72
40,56,10,9,64,70,73,4,0,40,72
21,56,14,10,43,38,50,75,0,40,72
